step,reward_mean_norm,reward_mean_raw,cov_rew_mean,col_rew_mean,aux_rew_mean,ep_len_mean,cov_per_step_mean,aux_per_step_mean
1204224,0.0126,0.6812,365.4050,-7.5200,138.5044,728.71,5.5245,0.1804
1216512,0.0120,0.6523,364.8730,-7.6000,136.2942,714.33,4.0941,0.1831
1228800,0.0131,0.7092,365.0770,-7.5200,134.2236,706.94,2.3544,0.1825
1241088,0.0104,0.5615,366.1720,-7.6000,134.8681,704.33,0.8716,0.1864
1253376,0.0112,0.6044,369.1040,-7.6800,142.4252,735.16,0.8380,0.1886
1265664,0.0136,0.7363,368.8770,-7.6000,142.2453,727.29,0.7626,0.1901
1277952,0.0107,0.5775,371.1370,-7.6000,146.5359,746.57,2.2421,0.1898
1290240,0.0144,0.7828,362.8841,-7.6800,142.0695,715.05,2.3494,0.1907
1302528,0.0122,0.6604,361.3760,-7.6000,145.1139,721.03,2.3489,0.1926
1314816,0.0114,0.6188,354.3230,-7.6000,139.5220,694.84,2.3273,0.1927
1327104,0.0116,0.6287,352.7320,-7.6000,138.1696,689.21,2.3289,0.1930
1339392,0.0107,0.5772,357.3940,-7.6000,143.3082,721.00,2.3019,0.1920
1351680,0.0108,0.5813,358.7400,-7.6000,143.4895,722.33,0.8138,0.1918
1363968,0.0125,0.6737,370.4730,-7.3600,159.9006,795.18,2.5690,0.1945
1376256,0.0119,0.6450,372.7390,-7.4400,159.6760,798.38,2.5746,0.1926
1388544,0.0117,0.6307,372.3650,-7.5200,159.5738,797.23,2.5508,0.1926
1400832,0.0130,0.6996,375.4990,-7.6000,157.8934,784.18,2.6027,0.1935
1413120,0.0125,0.6753,380.0400,-7.5200,162.6328,802.04,2.5944,0.1955
1425408,0.0115,0.6203,382.2170,-7.4400,162.9938,802.57,2.6474,0.1951
1437696,0.0133,0.7150,374.5470,-7.5200,151.7719,745.18,0.8270,0.1972
1449984,0.0125,0.6711,377.2300,-7.4400,155.4812,761.65,0.8248,0.1981
1462272,0.0136,0.7322,371.1440,-7.5200,146.2817,717.38,0.8523,0.1987
1474560,0.0136,0.7325,368.3370,-7.3600,141.8748,706.11,0.9116,0.1943
1486848,0.0110,0.5928,369.2480,-7.3600,143.4807,715.47,0.9405,0.1938
1499136,0.0118,0.6358,368.7390,-7.4400,143.8847,710.55,0.8601,0.1966
1511424,0.0140,0.7520,371.6219,-7.5200,145.4157,720.15,0.8617,0.1958
1523712,0.0118,0.6333,370.1590,-7.6000,142.9154,715.66,0.8417,0.1943
1536000,0.0126,0.6797,368.0160,-7.5200,143.3566,721.22,1.8998,0.1914
1548288,0.0136,0.7308,364.6180,-7.6800,137.8083,706.91,1.8987,0.1874
1560576,0.0119,0.6430,362.0090,-7.7600,134.1585,694.96,2.9032,0.1836
1572864,0.0106,0.5703,365.7330,-7.6800,136.2787,711.91,2.8989,0.1821
1585152,0.0118,0.6345,372.5840,-7.5200,143.7006,750.08,2.8826,0.1814
1597440,0.0119,0.6399,372.4950,-7.3600,145.0926,755.69,2.9143,0.1818
1609728,0.0144,0.7742,363.0170,-7.6000,134.5172,710.61,3.3675,0.1793
1622016,0.0097,0.5202,369.8000,-7.4400,148.4359,771.47,3.2853,0.1829
1634304,0.0128,0.6869,367.9930,-7.2800,146.8597,759.55,2.9375,0.1845
1646592,0.0142,0.7643,357.6340,-7.3600,130.4884,682.87,2.9847,0.1827
1658880,0.0116,0.6230,356.1049,-7.2800,130.6415,683.27,2.9820,0.1835
1671168,0.0122,0.6543,356.6980,-7.1200,128.9184,681.17,3.0479,0.1795
1683456,0.0116,0.6254,369.9620,-6.9600,139.5097,741.04,3.0131,0.1792
1695744,0.0122,0.6589,360.4130,-7.2000,127.1221,683.80,3.0545,0.1777
1708032,0.0121,0.6512,362.7240,-7.0400,130.1908,700.12,2.9820,0.1770
1720320,0.0128,0.6888,363.5250,-6.9600,133.7986,720.51,2.9509,0.1767
1732608,0.0123,0.6604,359.0309,-7.2000,130.3691,700.35,2.8968,0.1781
1744896,0.0136,0.7287,357.5530,-7.2800,127.8596,686.23,6.5154,0.1768
1757184,0.0136,0.7304,362.7110,-7.2800,131.1994,690.93,5.0116,0.1806
1769472,0.0134,0.7219,360.4050,-7.2800,124.7693,660.17,5.7305,0.1795
1781760,0.0130,0.6991,360.4050,-7.4400,123.8679,647.67,5.6995,0.1812
1794048,0.0113,0.6071,361.0879,-7.4400,127.4426,661.87,5.7730,0.1814
1806336,0.0110,0.5932,366.0900,-7.2800,133.6895,696.03,5.7563,0.1803
1818624,0.0129,0.6937,362.7670,-7.3600,133.1195,690.42,3.3965,0.1829
1830912,0.0110,0.5924,362.1480,-7.2800,134.7448,699.96,5.4565,0.1811
1843200,0.0101,0.5421,369.7090,-7.2800,143.3258,749.56,4.2018,0.1827
1855488,0.0111,0.5962,377.0380,-7.2000,154.6940,804.48,4.1751,0.1833
1867776,0.0100,0.5368,381.8249,-7.2000,159.8319,834.37,4.1577,0.1832
1880064,0.0130,0.6976,376.7190,-7.2800,148.3844,787.33,4.1627,0.1799
1892352,0.0103,0.5554,375.6200,-7.4400,149.7514,799.92,4.1463,0.1784
1904640,0.0132,0.7088,374.4280,-7.5200,144.2086,786.71,2.8652,0.1758
1916928,0.0125,0.6706,375.1940,-7.6000,141.9307,781.12,0.8200,0.1751
1929216,0.0112,0.6030,367.3360,-7.6800,133.6269,739.94,0.8363,0.1739
1941504,0.0111,0.5954,360.1480,-7.7600,128.9644,719.44,2.4869,0.1711
1953792,0.0122,0.6544,363.3280,-7.7600,133.9955,738.80,4.5172,0.1711
1966080,0.0126,0.6782,357.3790,-7.8400,126.1554,694.15,4.5808,0.1732
1978368,0.0106,0.5706,355.6710,-7.8400,129.9701,706.35,5.6897,0.1734
1990656,0.0129,0.6956,352.4630,-7.8400,126.7347,691.48,9.7468,0.1708
2002944,0.0128,0.6886,351.4781,-7.8400,123.8688,671.14,9.7868,0.1720
2015232,0.0133,0.7169,349.2290,-7.8400,122.5976,661.02,7.2774,0.1759
2027520,0.0119,0.6422,351.1210,-7.9200,126.0226,674.18,7.2613,0.1763
2039808,0.0119,0.6439,359.8900,-7.7600,133.9811,709.64,6.0830,0.1797
2052096,0.0102,0.5523,362.7870,-7.6800,137.0701,716.13,6.0870,0.1816
2064384,0.0130,0.7009,368.8630,-7.6800,143.8482,745.04,4.0769,0.1848
2076672,0.0126,0.6804,374.2540,-7.6000,145.6298,752.48,4.0409,0.1858
2088960,0.0128,0.6902,376.5390,-7.6000,145.4191,754.12,2.8338,0.1860
2101248,0.0130,0.6973,379.6640,-7.4400,148.1869,768.39,2.7806,0.1870
2113536,0.0113,0.6100,371.4500,-7.5200,139.5332,733.23,5.1884,0.1831
2125824,0.0124,0.6688,359.5440,-7.5200,128.8001,679.96,6.4999,0.1807
2138112,0.0133,0.7183,358.2040,-7.5200,125.7993,671.24,4.4392,0.1785
2150400,0.0118,0.6359,350.9880,-7.5200,121.4334,650.18,7.6258,0.1752
2162688,0.0107,0.5757,356.2250,-7.4400,130.4368,692.95,7.5912,0.1762
2174976,0.0126,0.6801,352.2520,-7.5200,126.1223,668.22,7.6419,0.1759
2187264,0.0097,0.5226,353.8210,-7.5200,131.1440,689.00,5.2508,0.1786
2199552,0.0124,0.6679,356.8550,-7.6800,135.0324,711.71,3.9250,0.1818
2211840,0.0128,0.6903,356.1090,-7.6800,135.6345,718.94,3.9464,0.1808
2224128,0.0120,0.6466,364.4180,-7.5200,141.3626,744.23,0.7521,0.1846
2236416,0.0112,0.6020,360.1160,-7.6800,137.7419,724.32,0.7443,0.1861
2248704,0.0129,0.6961,364.3310,-7.6000,138.2633,732.67,2.5107,0.1825
2260992,0.0120,0.6473,363.0940,-7.6000,134.1170,707.26,2.5650,0.1829
2273280,0.0146,0.7877,360.1080,-7.6000,129.8848,677.69,4.1149,0.1835
2285568,0.0135,0.7294,366.9460,-7.5200,135.0620,697.19,4.1345,0.1848
2297856,0.0139,0.7513,352.6130,-7.7600,117.9202,620.25,4.2399,0.1814
2310144,0.0125,0.6770,358.3750,-7.5200,125.5834,648.15,2.4490,0.1862
2322432,0.0133,0.7163,362.1451,-7.4400,124.0222,640.64,2.4363,0.1867
2334720,0.0121,0.6511,361.2910,-7.3600,122.5519,639.23,2.9040,0.1839
2347008,0.0113,0.6090,369.4200,-7.3600,134.6709,700.38,2.8194,0.1865
2359296,0.0141,0.7599,369.4060,-7.2000,132.1113,688.66,2.8471,0.1862
2371584,0.0115,0.6187,375.5640,-7.0400,141.7234,724.20,2.8098,0.1887
2383872,0.0138,0.7435,374.8830,-7.2000,141.3814,722.96,4.3580,0.1869
2396160,0.0144,0.7756,358.6890,-7.4400,129.2005,660.64,8.0726,0.1843
2408448,0.0110,0.5929,364.6700,-7.2800,135.4371,682.26,6.0533,0.1888
2420736,0.0120,0.6448,360.8260,-7.4400,136.3065,684.45,6.0541,0.1887
2433024,0.0136,0.7352,352.8550,-7.6800,127.0937,645.08,6.0845,0.1863
2445312,0.0110,0.5946,351.4890,-7.6800,128.0701,650.02,6.0544,0.1878
